publisher,genres,game,title,release_date,price,id,developer
Kotoshiro,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,Lost Summoner Kitty,2018,4.99,761140,Kotoshiro
"Making Fun, Inc.","['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,Ironbound,2018,0,643980,Secret Level SRL
Poolians.com,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,Real Pool 3D - Poolians,2017,0,670290,Poolians.com
彼岸领域,"['Action', 'Adventure', 'Casual']",弹炸人2222,弹炸人2222,2017,0.99,767400,彼岸领域
Trickjump Games Ltd,"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,Battle Royale Trainer,2018,3.99,772540,Trickjump Games Ltd
,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Basic Pass,SNOW - All Access Basic Pass,2018,9.99,774276,Poppermost Productions
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,2018,18.99,774277,Poppermost Productions
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,SNOW - All Access Legend Pass,2018,29.99,774278,Poppermost Productions
RewindApp,"['Casual', 'Indie', 'Racing', 'Simulation']",Race,Race,2018,,768800,RewindApp
Stegalosaurus Game Development,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018,10.99,770380,Stegalosaurus Game Development
Copperpick Studio,"['Casual', 'Indie']",Beach Rules,Beach Rules,2018,3.99,768880,Copperpick Studio
Ghulam Jewel,"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,Planetarium 2 - Zen Odyssey,2018,2.99,765320,Ghulam Jewel
Apillo,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,The first thrust of God,2018,1.59,773650,Apillo
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,SNOW - Starter Pack,2018,14.99,774271,Poppermost Productions
Apillo,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,The first thrust of God - All Aircrafts,2018,1.99,773690,Apillo
Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,SNOW - Lifetime Pack,2018,59.99,774279,Poppermost Productions
Tero Lunkka,"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,The Warrior Of Treasures,2018,0.99,768060,Tero Lunkka
FrozenPepper,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,RC Plane 3 - Canyon Scenario,2017,2.99,775880,FrozenPepper
FrozenPepper,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,RC Plane 3 - F-53B,2017,2.99,775881,FrozenPepper
Casey Labrack,"['Action', 'Indie']",DinoBlaster,DinoBlaster,2018,4.99,653960,Casey Labrack
,,Robotpencil Presents: Understanding 3D for Concept,Robotpencil Presents: Understanding 3D for Concept,2018,4.99,777910,
Stainless Games Ltd,"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,Carmageddon Max Pack,1997,9.99,282010,Stainless Games Ltd
Valve,['Action'],Half-Life,Half-Life,1998,9.99,70,Valve
dev4play,"['Action', 'Indie', 'RPG']",Fallen Mage,Fallen Mage,2016,1.99,752360,dev4play
BlueLine Games,"['Casual', 'Indie', 'Strategy']",Lost Cities,Lost Cities,2018,,520680,BlueLine Games
Games by Brundle,['Action'],Twisted Enhanced Edition,Twisted Enhanced Edition,2018,,690410,Games by Brundle
ETGgames,"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,Vaporwave Simulator,2018,0.99,766850,ETGgames
ProjectorGames,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,Tactics Forever,2018,,413120,ProjectorGames
Unknown Indie Devs,"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,Christmas Santa Troubles,2017,,773120,Unknown Indie Devs
,"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,Underdone - Soundtrack,2018,8.99,754360,The Commander
Cisamid Inc.,"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,Bitcoin Clicker,2018,0.99,716110,"lalalaZero,Urbanoff"
Strategy First,['Strategy'],Disciples II: Gallean's Return,Disciples II: Gallean's Return,2006,6.99,1640,Strategy First
Strategy First,['Strategy'],Disciples II: Rise of the Elves,Disciples II: Rise of the Elves,2006,6.99,1630,Strategy First
Blazing Griffin Ltd.,"['Action', 'Indie', 'RPG']",The Ship: Murder Party,The Ship: Murder Party,2006,9.99,2400,Outerlight Ltd.
Ultraint,"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,Souland,2017,7.99,759920,Ultraint
Seth Albertus,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,Darkness and a Crowd,2018,,659780,Seth Albertus
TPM.CO SOFT WORKS,"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,TAROTICA VOO DOO,2017,10.99,603280,TPM.CO SOFT WORKS
Wonderbox Games,"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,Chronicles of Vinland,2017,9.99,753110,Wonderbox Games
Wonderbox Games,"['Action', 'Indie']",Orbitality,Orbitality,2017,9.99,753100,Wonderbox Games
Mad Unicorn Games,"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,Atomic Adam: Episode 1,2017,1.99,764280,Mad Unicorn Games
,"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,Mirt. Tales of the Cold Land. Chapter 2,2017,0.99,758550,Emanon Studios
Majesco,['Action'],Advent Rising,Advent Rising,2005,9.99,3800,GlyphX Games
Introversion Software,"['Indie', 'Strategy']",DEFCON,DEFCON,2006,9.99,1520,Introversion Software
Blazing Griffin Ltd.,"['Action', 'Indie', 'RPG']",The Ship: Single Player,The Ship: Single Player,2006,9.99,2420,Outerlight Ltd.
Valve,"['Indie', 'Simulation']",Garry's Mod,Garry's Mod,2006,9.99,4000,Facepunch Studios
SimBin,['Racing'],RACE - The WTCC Game,RACE - The WTCC Game,2006,39.99,4230,SimBin
Unknown Worlds Entertainment,"['Casual', 'Indie']",Zen of Sudoku,Zen of Sudoku,2006,0,4900,Unknown Worlds Entertainment
"CINEMAX, s.r.o.","['Casual', 'Indie']",Gumboy - Crazy Adventures™,Gumboy - Crazy Adventures™,2006,4.99,2520,"CINEMAX, s.r.o."
Strategy First,['Strategy'],Ghost Master®,Ghost Master®,2003,4.99,6200,Sick Puppies
Strategy First,['Strategy'],Vegas: Make It Big™,Vegas: Make It Big™,2006,4.99,6210,Deepred
Funcom,"['Adventure', 'RPG']",Dreamfall: The Longest Journey,Dreamfall: The Longest Journey,2006,19.99,6300,Funcom
Strategy First,['Racing'],FlatOut 2™,FlatOut 2™,2006,9.99,2990,Bugbear Entertainment
Strategy First,['Racing'],FlatOut,FlatOut,2005,7.49,6220,Bugbear Entertainment
Capcom,"['Action', 'Adventure']",Lost Planet™: Extreme Condition,Lost Planet™: Extreme Condition,2007,14.99,6510,"CAPCOM Co., Ltd."
2K Games,['Strategy'],CivCity: Rome,CivCity: Rome,2006,9.99,3980,"FireFly Studios,Firaxis Games"
Arkane Studios,['RPG'],Arx Fatalis,Arx Fatalis,2002,4.99,1700,Arkane Studios
Funcom,"['Action', 'Adventure', 'RPG']",The Longest Journey,The Longest Journey,2000,9.99,6310,Funcom
2K Games,['Strategy'],Civilization IV®: Warlords,Civilization IV®: Warlords,2006,4.99,3990,Firaxis Games
2K Games,['Strategy'],Railroad Tycoon 3,Railroad Tycoon 3,2003,9.99,7610,PopTop
"2K Games, Feral Interactive (Mac)",['Strategy'],Sid Meier's Railroads!,Sid Meier's Railroads!,2006,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
2K Games,['Strategy'],Railroad Tycoon II Platinum,Railroad Tycoon II Platinum,1998,4.99,7620,PopTop
,"['Casual', 'Indie']",RIP - Trilogy™,RIP - Trilogy™,2007,4.99,2540,Elephant Games
2K Games,['Strategy'],X-COM: Terror From the Deep,X-COM: Terror From the Deep,1995,4.99,7650,"MicroProse Software, Inc"
"Square Enix, Feral Interactive (Mac)","['Action', 'Adventure']",Tomb Raider: Anniversary,Tomb Raider: Anniversary,2007,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
Capcom,['Action'],Devil May Cry® 3 Special Edition,Devil May Cry® 3 Special Edition,2006,19.99,6550,"CAPCOM Co., Ltd."
Telltale Games,"['Action', 'Adventure']",Sam & Max 101: Culture Shock,Sam &amp; Max 101: Culture Shock,2006,19.99,8200,Telltale Games
id Software,['Action'],Final DOOM,Final DOOM,1996,4.99,2290,id Software
,"['Indie', 'RPG']",Vigil: Blood Bitterness™,Vigil: Blood Bitterness™,2007,,2570,Freegamer
Telltale Games,"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,Sam &amp; Max 102: Situation: Comedy,2006,19.99,8210,Telltale Games
id Software,['Action'],Ultimate Doom,Ultimate Doom,1995,4.99,2280,id Software
id Software,['Action'],Master Levels for Doom II,Master Levels for Doom II,1995,14.99,9160,id Software
id Software,['Action'],DOOM II,DOOM II,1994,4.99,2300,id Software
id Software,['Action'],Wolfenstein 3D,Wolfenstein 3D,1994,4.99,2270,id Software
id Software,['Action'],Return to Castle Wolfenstein,Return to Castle Wolfenstein,2001,4.99,9010,Gray Matter Studios
id Software,['Action'],QUAKE Mission Pack 1: Scourge of Armagon,QUAKE Mission Pack 1: Scourge of Armagon,1997,2.99,9040,Ritual Entertainment
id Software,['Action'],Spear of Destiny,Spear of Destiny,1993,2.99,9000,id Software
Majesco,['Action'],BloodRayne,BloodRayne,2003,9.99,3810,Terminal Reality
id Software,['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,QUAKE Mission Pack 2: Dissolution of Eternity,2007,2.99,9030,Rogue Entertainment
id Software,['Action'],QUAKE,QUAKE,2007,4.99,2310,id Software
THQ Nordic,['Strategy'],Genesis Rising,Genesis Rising,2007,4.99,3230,Metamorf
SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault","Warhammer® 40,000: Dawn of War® – Winter Assault",2006,12.99,9310,Relic Entertainment
2K Games,"['Action', 'RPG']",BioShock™,BioShock™,2007,19.99,7670,"2K Boston,2K Australia"
SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006,12.99,4570,Relic Entertainment
SEGA,['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade","Warhammer® 40,000: Dawn of War® - Dark Crusade",2006,12.99,4580,Relic Entertainment
SEGA,['Strategy'],Rome: Total War™ - Collection,Rome: Total War™ - Collection,2004,9.99,4760,The Creative Assembly
SEGA,['Strategy'],Rome: Total War™ - Alexander,Rome: Total War™ - Alexander,2006,4.99,4770,The Creative Assembly
Big Fish Games,['Casual'],Mystery Case Files: Madame Fate®,Mystery Case Files: Madame Fate®,2007,6.99,50970,Big Fish Games
Rockstar Games,['Action'],Grand Theft Auto,Grand Theft Auto,1998,,12170,Rockstar North
Rockstar Games,['Action'],Grand Theft Auto 2,Grand Theft Auto 2,1999,,12180,Rockstar North
Rockstar Games,['Action'],Manhunt,Manhunt,2004,9.99,12130,Rockstar North
Rockstar Games,['Racing'],Midnight Club 2,Midnight Club 2,2003,9.99,12160,Rockstar San Diego
