genres,game,release_date,tags,specs,price,id,developer
0,Lost Summoner Kitty,3186,160,15,1,761140,4959
8,Ironbound,3186,62,15,0,643980,7782
4,Real Pool 3D - Poolians,3022,62,15,0,670290,6893
0,弹炸人2222,3157,5,15,1,767400,10490
0,Battle Royale Trainer,3186,5,15,1,772540,9168
8,SNOW - All Access Basic Pass,3186,62,15,2,774276,6900
8,SNOW - All Access Pro Pass,3186,62,15,2,774277,6900
8,SNOW - All Access Legend Pass,3186,62,15,2,774278,6900
0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,3186,5,15,2,770380,8338
4,Beach Rules,3186,26,15,1,768880,1925
4,Planetarium 2 - Zen Odyssey,3185,79,15,1,765320,3718
1,The first thrust of God,3185,160,15,1,773650,627
8,SNOW - Starter Pack,3185,62,15,2,774271,6900
1,The first thrust of God - All Aircrafts,3185,160,15,1,773690,627
8,SNOW - Lifetime Pack,3185,62,15,2,774279,6900
0,The Warrior Of Treasures,3185,5,15,1,768060,8806
13,RC Plane 3 - Canyon Scenario,3172,146,15,1,775880,3459
13,RC Plane 3 - F-53B,3173,146,15,1,775881,3459
0,DinoBlaster,3185,79,15,1,653960,1606
0,Carmageddon Max Pack,126,129,15,2,282010,8285
0,Half-Life,172,54,15,2,70,9422
0,Fallen Mage,2792,5,15,1,752360,10154
4,Vaporwave Simulator,3183,26,15,1,766850,2760
0,Underdone - Soundtrack,3183,5,15,2,754360,8838
1,Bitcoin Clicker,3183,7,15,1,716110,10263
16,Disciples II: Gallean's Return,542,170,15,2,1640,8409
16,Disciples II: Rise of the Elves,542,160,15,2,1630,8409
0,The Ship: Murder Party,543,102,15,2,2400,6463
0,Souland,3179,50,15,2,759920,9308
0,TAROTICA VOO DOO,3179,79,15,2,603280,8630
4,Chronicles of Vinland,3179,50,15,2,753110,9815
0,Orbitality,3179,79,15,2,753100,9815
0,Atomic Adam: Episode 1,3180,5,15,1,764280,5430
1,Mirt. Tales of the Cold Land. Chapter 2,3179,7,15,1,758550,2897
0,Advent Rising,480,5,15,2,3800,3754
9,DEFCON,567,160,15,2,1520,4427
0,The Ship: Single Player,585,5,15,2,2420,6463
